CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/28/2015,21:00,QUEENS,11379,40.7128894,-73.8777068,"(40.7128894, -73.8777068)",METROPOLITAN AVENUE             ,75 STREET                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3289718,BICYCLE,PASSENGER VEHICLE,,,
08/12/2015,23:30,MANHATTAN,10031,40.827776,-73.9457487,"(40.827776, -73.9457487)",AMSTERDAM AVENUE                ,WEST 149 STREET                 ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3276593,BICYCLE,UNKNOWN,,,
08/27/2015,11:10,BROOKLYN,11226,40.653575,-73.959452,"(40.653575, -73.959452)",FLATBUSH AVENUE                 ,LENOX ROAD                      ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3285909,BICYCLE,SPORT UTILITY / STATION WAGON,,,
08/31/2015,17:07,BROOKLYN,11226,40.653976,-73.9528277,"(40.653976, -73.9528277)",LENOX ROAD                      ,ROGERS AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3293908,BICYCLE,BICYCLE,PASSENGER VEHICLE,,
08/13/2015,13:38,,,,,,,,65 CROSS DRIVE                          ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3276565,BICYCLE,OTHER,,,
08/24/2015,8:40,QUEENS,11104,40.746355,-73.9161602,"(40.746355, -73.9161602)",48 STREET                       ,SKILLMAN AVENUE                 ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3283581,BICYCLE,OTHER,,,
08/21/2015,9:15,BROOKLYN,11205,40.6907986,-73.9563571,"(40.6907986, -73.9563571)",DEKALB AVENUE                   ,SKILLMAN STREET                 ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3281781,BICYCLE,BUS,,,
09/03/2015,14:25,MANHATTAN,10003,40.7379177,-73.9922237,"(40.7379177, -73.9922237)",EAST 17 STREET                  ,5 AVENUE                        ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3289910,BICYCLE,UNKNOWN,,,
08/17/2015,19:29,BROOKLYN,11208,40.6791165,-73.8691051,"(40.6791165, -73.8691051)",AUTUMN AVENUE                   ,HILL STREET                     ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3279900,BICYCLE,PASSENGER VEHICLE,,,
08/18/2015,19:45,BROOKLYN,11207,40.6641493,-73.8818548,"(40.6641493, -73.8818548)",ASHFORD STREET                  ,HEGEMAN AVENUE                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3284092,BICYCLE,UNKNOWN,,,
08/27/2015,10:50,QUEENS,11372,40.7477341,-73.8829986,"(40.7477341, -73.8829986)",ROOSEVELT AVENUE                ,83 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3285629,BICYCLE,PASSENGER VEHICLE,,,
08/21/2015,21:00,BROOKLYN,11216,40.6803904,-73.949557,"(40.6803904, -73.949557)",FULTON STREET                   ,BEDFORD AVENUE                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3282921,BICYCLE,UNKNOWN,,,
