CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/16/2020,8:52,MANHATTAN,10022,40.764896,-73.97256,"(40.764896, -73.97256)",5 AVENUE                        ,EAST 60 STREET,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4320573,Bike,Bus,,,
06/20/2020,17:07,,,,,,SHORE ROAD                      ,CITY ISLAND ROAD,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4321576,Station Wagon/Sport Utility Vehicle,Bike,,,
04/28/2020,16:33,BROOKLYN,11226,40.643063,-73.95166,"(40.643063, -73.95166)",ROGERS AVENUE                   ,CLARENDON ROAD,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4310960,Bus,Bike,,,
06/05/2020,19:45,BRONX,10454,40.809105,-73.9229,"(40.809105, -73.9229)",EAST 138 STREET                 ,WILLIS AVENUE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4318417,Taxi,Bike,,,
05/05/2020,10:18,,,40.73136,-73.98257,"(40.73136, -73.98257)",EAST 14 STREET                  ,,,0,1,0,0,0,1,0,0,Backing Unsafely,Unspecified,,,,4312935,Taxi,Bike,,,
05/22/2020,8:20,,,40.602074,-74.1672,"(40.602074, -74.1672)",ARLENE STREET                   ,SIGNS ROAD,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Traffic Control Disregarded,,,,4315124,Pick-up Truck,Bike,,,
09/11/2021,1:28,,,40.79599,-73.96896,"(40.79599, -73.96896)",AMSTERDAM AVENUE,,,1,1,0,0,1,1,0,0,Unspecified,,,,,4457900,E-Bike,,,,
09/25/2021,22:26,BROOKLYN,11207,40.65753,-73.89797,"(40.65753, -73.89797)",SNEDIKER AVENUE,LINDEN BOULEVARD,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4461286,E-Bike,,,,
10/07/2021,0:08,,,40.8020705,-73.9735112,"(40.8020705, -73.9735112)",HENRY HUDSON PARKWAY,,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4465371,Sedan,Bike,,,
10/15/2021,22:10,,,40.6785984,-73.8824097,"(40.6785984, -73.8824097)",ATLANTIC AVENUE,ESSEX STREET,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4467747,Sedan,Bike,,,
