CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/26/2017,1:45,BROOKLYN,11217,40.68714,-73.98124,"(40.68714, -73.98124)",,,333       SCHERMERHORN STREET           ,1,1,0,1,0,0,1,0,Passenger Distraction,Unspecified,Unspecified,,,3798385,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
10/31/2017,15:08,MANHATTAN,10014,40.729046,-74.01073,"(40.729046, -74.01073)",WEST STREET                     ,WEST HOUSTON STREET,,12,8,7,6,1,2,4,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,3782508,Flat Bed,Bus,Bike,Bike,Bike
10/22/2017,20:00,MANHATTAN,10036,40.755333,-73.98531,"(40.755333, -73.98531)",,,136       WEST 42 STREET                ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3774931,Taxi,Station Wagon/Sport Utility Vehicle,Bike,,
09/23/2017,14:00,MANHATTAN,10023,40.769478,-73.98089,"(40.769478, -73.98089)",,,15        CENTRAL PARK WEST             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3756814,Taxi,Station Wagon/Sport Utility Vehicle,Bike,,
10/06/2017,20:15,MANHATTAN,10036,,,,6 Avenue                        ,West 42 Street,,2,0,0,0,2,0,0,0,Unspecified,Unspecified,Unspecified,,,3765166,Bike,Taxi,Bike,,
09/24/2017,21:54,MANHATTAN,10024,40.787857,-73.96745,"(40.787857, -73.96745)",WEST 90 STREET                  ,CENTRAL PARK WEST,,2,0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3756865,Station Wagon/Sport Utility Vehicle,Bike,Bike,,
08/28/2017,18:30,,,40.725388,-74.00459,"(40.725388, -74.00459)",AVENUE OF THE AMERICAS          ,,,2,0,0,0,2,0,0,0,Driver Inattention/Distraction,Following Too Closely,Unspecified,,,3739855,Sedan,Bike,Bike,,
09/12/2017,9:50,MANHATTAN,10036,40.758686,-73.98533,"(40.758686, -73.98533)",WEST 46 STREET                  ,BROADWAY,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3750402,Bus,Taxi,Bike,,
09/10/2017,1:38,,,40.807095,-73.945984,"(40.807095, -73.945984)",WEST 124 STREET                 ,,,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3748988,Taxi,Taxi,Bike,,
08/25/2017,22:42,,,40.708176,-73.94334,"(40.708176, -73.94334)",GRAHAM AVENUE                   ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,3740232,Sedan,Bus,Bike,,
09/07/2017,18:05,,,40.59034,-74.06663,"(40.59034, -74.06663)",SAND LANE                       ,,,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,Unspecified,,,3746123,Sedan,Sedan,Bike,,
09/02/2017,19:20,,,40.797867,-73.96758,"(40.797867, -73.96758)",AMSTERDAM AVENUE                ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Other Vehicular,Other Vehicular,Other Vehicular,,3743223,Taxi,Bike,Bike,Sedan,
09/10/2017,9:06,BROOKLYN,11218,40.641953,-73.9885,"(40.641953, -73.9885)",12 AVENUE                       ,39 STREET,,3,1,0,0,3,1,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3747815,Bike,Station Wagon/Sport Utility Vehicle,Bike,Bike,Bike
09/17/2017,19:35,MANHATTAN,10032,40.83638,-73.94458,"(40.83638, -73.94458)",WEST 160 STREET                 ,FORT WASHINGTON AVENUE,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,3751993,Sedan,Sedan,Bike,,
09/05/2017,18:00,BROOKLYN,11221,40.685207,-73.939735,"(40.685207, -73.939735)",,,546       PUTNAM AVENUE                 ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,Unspecified,,,3744270,Bus,Sedan,Bike,,
09/06/2017,23:30,,,40.589504,-74.15604,"(40.589504, -74.15604)",,,427       TRAVIS AVENUE                 ,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3745527,Sedan,Sedan,Bike,,
09/13/2017,19:15,BROOKLYN,11211,40.70591,-73.951096,"(40.70591, -73.951096)",BROADWAY                        ,RUTLEDGE STREET,,1,0,0,0,1,0,0,0,Other Vehicular,Passing Too Closely,Unspecified,,,3749318,Sedan,Station Wagon/Sport Utility Vehicle,Bike,,
08/21/2017,7:20,,,40.691925,-73.94564,"(40.691925, -73.94564)",TOMPKINS AVENUE                 ,,,2,0,0,0,1,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3735891,Sedan,Sedan,Bike,,
08/21/2017,12:52,MANHATTAN,10022,40.75534,-73.97113,"(40.75534, -73.97113)",,,800       3 AVENUE                      ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3735200,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike,,
07/29/2017,11:30,MANHATTAN,10009,40.72538,-73.97793,"(40.72538, -73.97793)",,,145       AVENUE C                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3725925,Sedan,Sedan,Bike,,
08/14/2017,19:28,BROOKLYN,11226,40.64764,-73.950226,"(40.64764, -73.950226)",,,32        EAST 29 STREET                ,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3731135,Sedan,Sedan,Bike,,
08/03/2017,11:00,QUEENS,11421,40.69546,-73.85271,"(40.69546, -73.85271)",WOODHAVEN BOULEVARD             ,86 AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3725428,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
08/21/2017,21:15,MANHATTAN,10065,40.76624,-73.960236,"(40.76624, -73.960236)",2 AVENUE                        ,EAST 68 STREET,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,3735215,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
08/17/2017,19:15,MANHATTAN,10002,40.71751,-73.991776,"(40.71751, -73.991776)",,,303       GRAND STREET                  ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,3736684,Taxi,Station Wagon/Sport Utility Vehicle,Bike,,
08/23/2017,10:00,MANHATTAN,10019,40.766888,-73.983315,"(40.766888, -73.983315)",,,300       WEST 57 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3735921,Station Wagon/Sport Utility Vehicle,Bike,Bike,,
08/23/2017,19:00,MANHATTAN,10011,40.733612,-73.999565,"(40.733612, -73.999565)",AVENUE OF THE AMERICAS          ,WEST 8 STREET,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,3737075,Sedan,Sedan,Bike,,
