CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/10/2013,15:00,MANHATTAN,10022,40.7602507,-73.9696243,"(40.7602507, -73.9696243)",EAST 56 STREET                  ,LEXINGTON AVENUE                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,36051,TAXI,TAXI,BICYCLE,,
10/05/2013,1:20,MANHATTAN,10011,40.7454163,-74.0081994,"(40.7454163, -74.0081994)",11 AVENUE                       ,WEST 18 STREET                  ,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,Unspecified,,,20310,TAXI,BICYCLE,BICYCLE,,
09/16/2013,21:04,MANHATTAN,10036,40.760405,-73.9874743,"(40.760405, -73.9874743)",8 AVENUE                        ,WEST 47 STREET                  ,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,Unspecified,,,42754,TAXI,TAXI,BICYCLE,,
10/05/2013,14:15,BROOKLYN,11238,40.6879835,-73.9677858,"(40.6879835, -73.9677858)",LAFAYETTE AVENUE                ,CLINTON AVENUE                  ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,193318,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
08/16/2013,23:15,BROOKLYN,11221,40.6917381,-73.9140004,"(40.6917381, -73.9140004)",CENTRAL AVENUE                  ,CORNELIA STREET                 ,,1,0,0,0,1,0,0,0,Outside Car Distraction,Unspecified,Unspecified,,,186574,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
09/07/2013,14:50,BROOKLYN,11216,40.6887749,-73.9478919,"(40.6887749, -73.9478919)",MARCY AVENUE                    ,GREENE AVENUE                   ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,181706,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,BICYCLE,,
08/16/2013,21:00,MANHATTAN,10009,40.7263974,-73.9861638,"(40.7263974, -73.9861638)",1 AVENUE                        ,EAST 6 STREET                   ,,2,0,0,0,2,0,0,0,Illness,Unspecified,Unspecified,,,15700,TAXI,BICYCLE,BICYCLE,,
09/06/2013,20:00,,,,,,BELL BOULEVARD                  ,HORACE HARDING EXPRESSWAY       ,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,,262638,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,BICYCLE,
08/14/2013,19:05,MANHATTAN,10017,40.7554056,-73.9794839,"(40.7554056, -73.9794839)",5 AVENUE                        ,WEST 45 STREET                  ,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,Unspecified,,,42387,UNKNOWN,LIVERY VEHICLE,BICYCLE,,
08/11/2013,3:17,QUEENS,11423,40.7162994,-73.7558878,"(40.7162994, -73.7558878)",FRANCIS LEWIS BOULEVARD         ,93 AVENUE                       ,,0,0,0,0,0,0,0,0,Other Electronic Device,Unsafe Speed,Unspecified,,,211484,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
07/15/2013,16:20,,,,,,BOGART AVENUE                   ,PIERCE AVENUE                   ,,2,0,0,0,2,0,0,0,Unspecified,Unspecified,Unspecified,,,105322,AMBULANCE,BICYCLE,BICYCLE,,
07/31/2013,9:05,MANHATTAN,10001,40.7503184,-73.9911106,"(40.7503184, -73.9911106)",WEST 33 STREET                  ,7 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,29829,PASSENGER VEHICLE,TAXI,BICYCLE,,
07/13/2013,15:47,MANHATTAN,10036,40.7548409,-73.9841185,"(40.7548409, -73.9841185)",WEST 42 STREET                  ,6 AVENUE                        ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,29653,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,BICYCLE,,
07/31/2013,9:45,MANHATTAN,10016,40.7439442,-73.9836267,"(40.7439442, -73.9836267)",EAST 29 STREET                  ,PARK AVENUE SOUTH               ,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,Unspecified,,,29827,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,BICYCLE,,
08/06/2013,18:00,BROOKLYN,11235,40.5770881,-73.9509957,"(40.5770881, -73.9509957)",ORIENTAL BOULEVARD              ,BEAUMONT STREET                 ,,3,0,0,0,1,0,2,0,Prescription Medication,Unspecified,Unspecified,,,119640,BUS,SPORT UTILITY / STATION WAGON,BICYCLE,,
07/24/2013,7:24,MANHATTAN,10025,40.7992404,-73.9628704,"(40.7992404, -73.9628704)",WEST 106 STREET                 ,COLUMBUS AVENUE                 ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,58848,LIVERY VEHICLE,SPORT UTILITY / STATION WAGON,BICYCLE,,
07/16/2013,18:55,BROOKLYN,11238,40.6844312,-73.9660928,"(40.6844312, -73.9660928)",GATES AVENUE                    ,WAVERLY AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,192987,PASSENGER VEHICLE,BICYCLE,BICYCLE,,
06/20/2013,7:00,QUEENS,11377,40.7402725,-73.8958512,"(40.7402725, -73.8958512)",69 STREET                       ,QUEENS BOULEVARD                ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,242555,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
07/07/2013,17:45,BROOKLYN,11237,40.7002464,-73.9208814,"(40.7002464, -73.9208814)",STANHOPE STREET                 ,KNICKERBOCKER AVENUE            ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,Unspecified,,,186386,PASSENGER VEHICLE,BICYCLE,BICYCLE,,
06/26/2013,21:46,MANHATTAN,10016,40.7521974,-73.9818237,"(40.7521974, -73.9818237)",EAST 40 STREET                  ,5 AVENUE                        ,,1,0,0,0,1,0,0,0,Prescription Medication,Unspecified,Unspecified,,,29464,OTHER,BICYCLE,BICYCLE,,
07/01/2013,13:50,BROOKLYN,11205,40.6981167,-73.9775324,"(40.6981167, -73.9775324)",FLUSHING AVENUE                 ,NORTH ELLIOT PLACE              ,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,192917,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,
